assertj-core                             [3.22.0]
org.eclipse.equinox.preferences.tests    [3.9.200.v20220426-1329]
org.eclipse.equinox.region               [1.5.200.v20211021-1418]
org.eclipse.equinox.region.source        [1.5.200.v20211021-1418]
org.eclipse.equinox.registry             [3.11.100.v20211021-1418]
org.eclipse.equinox.registry.source      [3.11.100.v20211021-1418]
org.eclipse.equinox.security             [1.3.900.v20220108-1321]
org.eclipse.equinox.security.linux       [1.0.200.v20210616-0726]
org.eclipse.equinox.security.linux.source [1.0.200.v20210616-0726]
org.eclipse.equinox.security.macosx      [1.101.400.v20210427-1958]
org.eclipse.equinox.security.macosx.source [1.101.400.v20210427-1958]
org.eclipse.equinox.security.source      [1.3.900.v20220108-1321]
org.eclipse.equinox.security.tests       [1.2.300.v20220108-1321]
org.eclipse.equinox.security.ui          [1.3.200.v20220115-0654]
org.eclipse.equinox.security.ui.source   [1.3.200.v20220115-0654]
org.eclipse.equinox.security.win32.x86_64 [1.1.300.v20211021-1418]
org.eclipse.equinox.security.win32.x86_64.source [1.1.300.v20211021-1418]
org.eclipse.equinox.servletbridge        [1.6.100.v20211021-1418]
org.eclipse.equinox.servletbridge.source [1.6.100.v20211021-1418]
org.eclipse.equinox.simpleconfigurator   [1.4.0.v20210315-2228]
org.eclipse.equinox.simpleconfigurator.manipulator [2.2.0.v20210315-2228]
org.eclipse.equinox.simpleconfigurator.manipulator.source [2.2.0.v20210315-2228]
org.eclipse.equinox.simpleconfigurator.source [1.4.0.v20210315-2228]
org.eclipse.equinox.supplement           [1.10.500.v20220516-2155]
org.eclipse.equinox.supplement.source    [1.10.500.v20220516-2155]
org.eclipse.equinox.transforms.hook      [1.3.100.v20211021-1418]
org.eclipse.equinox.transforms.hook.source [1.3.100.v20211021-1418]
org.eclipse.equinox.transforms.xslt      [1.2.100.v20211021-1418]
org.eclipse.equinox.transforms.xslt.source [1.2.100.v20211021-1418]
org.eclipse.equinox.useradmin            [1.2.200.v20211021-1418]
